In the analysis [lhs_171_v1.inp] the following keyword-specific stabilization terms are used:

In lhs_171_v1_inp-files/Material.inp:
*Damage Stabilization
1e-05

In lhs_171_v1_inp-files/Step.inp:

% till analysis end   |         1%|        10%|        50%|        90%|        95%|        99%|       100%|
-----------------------------------------------------------------------------------------------------------
steptime              |     0.0100|     0.1000|     0.5000|     0.9000|     0.9500|     0.9900|     1.0000|
inc number            |         13|         23|         63|        104|        113|        117|        119|
-----------------------------------------------------------------------------------------------------------
ALLCD/ALLIE*100       |     0.2664|     0.0030|     0.0001|     0.0001|     0.0001|     0.0001|     0.0001|
ALLPD/ALLIE*100       |     0.4372|    75.7079|    95.4437|    97.4035|    98.0272|    98.5327|    98.8909|
ALLSD/ALLIE*100       |     0.0000|     0.0000|     0.0000|     0.0000|     0.0000|     0.0000|     0.0000|
ALLVD/ALLIE*100       |     3.3396|     0.0374|     0.0014|     0.0012|     0.0012|     0.0012|     0.0012|
ETOTAL/ALLIE*100      |    88.0981|     2.5641|     4.9180|     5.8245|     6.2153|     6.1686|     6.1731|
-----------------------------------------------------------------------------------------------------------
ALLAE                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLCCDW               | 4.0686e-07|-1.1456e-06|-3.3608e-05|-5.3523e-05|-1.0910e-04|-1.2443e-04|-1.3093e-04|
ALLCCE                | 2.0313e-08| 5.7855e-06| 2.8389e-05| 1.6459e-05| 1.1120e-05| 1.0535e-05| 4.3040e-06|
ALLCCEN               | 2.0313e-08| 3.0681e-06| 1.1280e-05| 7.7271e-06| 4.9470e-06| 6.4661e-06| 1.9873e-06|
ALLCCET               |        0.0| 2.7174e-06| 1.7109e-05| 8.7315e-06| 6.1728e-06| 4.0686e-06| 2.3167e-06|
ALLCCSD               | 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08|
ALLCCSDN              | 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08|
ALLCCSDT              |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLCD                 | 6.7573e-09| 6.7141e-09| 6.7792e-09| 6.8250e-09| 6.8650e-09| 6.9089e-09| 6.9166e-09|
ALLDMD                | 1.9831e-06| 1.9908e-06| 3.4532e-06| 4.4209e-06| 4.4943e-06| 4.5114e-06| 4.5160e-06|
ALLDTI                |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLEE                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLFD                 |        0.0| 2.6649e-05| 1.2478e-03| 4.1507e-03| 4.4022e-03| 4.5599e-03| 4.6031e-03|
ALLIE                 | 2.5362e-06| 2.2636e-04| 5.8954e-03| 7.2620e-03| 7.2694e-03| 7.2308e-03| 7.2052e-03|
ALLJD                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLKE                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLKL                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLPD                 | 1.1088e-08| 1.7137e-04| 5.6267e-03| 7.0735e-03| 7.1260e-03| 7.1247e-03| 7.1253e-03|
ALLQB                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLSD                 |        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|        0.0|
ALLSE                 | 5.3518e-07| 5.2989e-05| 2.6515e-04| 1.8413e-04| 1.3891e-04| 1.0158e-04| 7.5389e-05|
ALLVD                 | 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08| 8.4698e-08|
ALLWK                 |-4.4814e-20| 2.5422e-04| 6.9153e-03| 1.1060e-02| 1.1340e-02| 1.1480e-02| 1.1499e-02|
ETOTAL                | 2.2343e-06| 5.8040e-06| 2.8993e-04| 4.2298e-04| 4.5182e-04| 4.4604e-04| 4.4478e-04|
RF1_BC3               | 1.4211e-13| 1.7186e-06| 1.9706e-05| 7.3656e-06| 1.3691e-05|-6.9931e-06| 2.5423e-05|
RF2_BC3               | 1.2506e-12| 5.3757e-02| 1.2617e-01| 5.6244e-02| 3.7550e-02| 2.1379e-02| 8.4556e-03|
RF3_BC3               |-5.6843e-14|-1.0038e-06| 2.9192e-06| 7.7641e-06| 9.6222e-06| 2.2554e-06| 1.4545e-05|
U2_BC3                | 9.9858e-04| 1.1681e-02| 5.9681e-02| 1.0798e-01| 1.1392e-01| 1.1872e-01| 1.2000e-01|
time                  | 8.3215e-03| 9.7343e-02| 4.9734e-01| 8.9984e-01| 9.4933e-01| 9.8933e-01| 1.0000e+00|
time_RF               | 8.3215e-03| 9.7343e-02| 4.9734e-01| 8.9984e-01| 9.4933e-01| 9.8933e-01| 1.0000e+00|
